Address,City,State,Zipcode,Name,Phone,URL,longitude,latitude,,
3320 Briarfield Blvd,Maumee,OH,43537,Walt Churchill's Market,,,-83.697026,41.580546,,
1500 BROWNS BRIDGE RD                   ,GAINESVILLE,GA ,30504,GOOD NUTRITION GAINESVILLE,,,-83.842683,34.287144,,
1250 Scenic Highway #1706,Lawrenceville,GA,30045,Sprouts Farmers Market,,,-84.0045,33.89949,,
530 Lakeland Plaza,Cumming,GA,30040,Sprouts Farmers Market,,,-84.14304,34.18506,,
"5130 Peachtree Pkwy, Suite 100",Peachtree Corners,GA,30092,Sprouts Farmers Market,,,-84.214277,33.981252,,
1415 Timberlane Rd,Tallahassee,FL,32312,Honeytree Natural Foods,,,-84.254729,30.504063,,
2480 Mount Vernon Rd,Dunwoody,GA,30338,Sprouts Farmers Market,,,-84.301753,33.958571,,
4274 Peachtree St,Atlanta,GA,30319,4 Kicks Ltd,,,-84.33563,33.867989,,
10703 ALPHARETTA HWY                    ,ROSWELL,GA ,300761424,GOOD NUTRITION ROSWELL,,,-84.34185,34.04148,,
668 HIGHLAND AVE                        ,ATLANTA,GA ,30312,ACROSS THE STREET MARKET,,,-84.365386,33.761448,,
2655 EAST GRAND RIVER                   ,EAST LANSING,MI ,488235608,FOODS FOR LIVING,,,-84.448199,42.724136,,
4500 W Village Pl #1001,Smyrna,GA,30080,Goodness Grocery,,,-84.49087,33.84265,,
9999 HWY 92 - SUITE 120                 ,WOODSTOCK,GA ,30188,GOOD NUTRITION WOODSTOCK,,,-84.52155,34.08665,,
260 East Tenth Street,Traverse City,MI,49684,Oryana Natural Foods Market,(231) 947-0191,http://oryana.coop/,-85.61871,44.75702,,
3717 S REED ROAD                        ,KOKOMO,IN ,46902,SUNSPOT NATURAL MARKET,,,-86.125916,40.44282,,
8215 US 31 SOUTH                        ,INDIANAPOLIS,IN ,46227,NATURE'S PHARM GREENWD *INFRA*,,,-86.133955,39.646496,,
14678 STATE ROAD 23                     ,GRANGER,IN ,46530,DOWN TO EARTH *INFRA*,,,-86.152863,41.735492,,
